Estado,PIB_Estatal,Inversion_extranjera,Crecimiento_PIB,PIB_Construccion,Terminales_punto_venta,LQ,indice_transp_fiscal,satisfaccion_servicios_generales ,Días_tramites_abrir_empresa ,areas_naturales_protegidas
AGS,334210.7,0.01,6.24,18146,21501,0.92,86.15,0.85,10,125184
BC,951065.7,0.06,3.46,51525,54483,0.92,47.67,0.81,9,2945470
BCS,181155.0,0.00,1.70,12792,20889,1.2,68.45,0.82,9,2602299
CAMP,508300.3,0.00,7.54,85275,7535,2.85,89.56,0.79,11,1410511
COAH,929624.6,0.00,-0.66,43419,42244,1.41,48.93,0.74,8,2331781
COL,154500.2,0.04,4.08,12120,10160,1.05,68.23,0.82,10,22154
CHIA,380224.9,0.44,1.53,31605,19907,0.62,71.14,0.84,11,1140097
CHIH,940263.3,0.04,3.18,57874,52512,0.79,84.73,0.84,8,1624198.4
CDMX,3806082.9,0.00,4.26,139858,244736,1.33,88.16,0.83,10,9529
DUR,309708.8,0.01,3.08,24744,16059,1.36,85.14,0.82,9,873609
GTO,1130785.4,0.07,1.78,56565,51921,0.85,90.07,0.80,9,236883
GRO,313712.9,0.03,1.17,21943,15760,1.19,48.98,0.75,10,6107
HGO,442970.7,0.00,2.68,40950,16908,1.57,76.35,0.78,10,131667
JAL,1834577.5,0.00,2.06,99808,95399,0.92,84.56,0.82,8,680478
EDOMEX,2275497.8,0.05,2.57,80299,106347,0.6,90.7,0.82,12,277231.3
MICH,679343.8,0.02,4.16,23366,34730,0.58,68.98,0.77,11,335264
MOR,265593.1,0.01,2.11,15149,14973,0.97,49.87,0.79,10,120616
NAY,162750.3,0.00,0.10,17371,10232,1.81,76.83,0.79,9,867375
NL,1995054.7,0.06,3.44,97454,141897,0.83,85.27,0.86,7,291186
OAX,447312.3,0.00,7.65,73234,15298,2.78,79.45,0.73,11,336235
PUE,852625.2,0.04,3.24,46651,38086,0.93,85.92,0.78,10,252979
QRO,614127.2,0.03,4.23,42405,33244,1.17,90.85,0.86,8,390916.6
QROO,403785.2,0.00,13.22,76525,41899,3.22,73.86,0.81,9,696269
SLP,575595.5,0.03,8.04,25740,62007,0.76,58.12,0.80,9,197225.4
SIN,517683.5,0.02,0.25,39080,40289,1.28,77.49,0.80,8,91145
SON,827423.8,0.03,4.73,50600,49146,1.04,78.76,0.82,8,1410890
TAB,656392.2,0.00,2.93,73616,25459,1.91,70.23,0.78,11,333721
TAMPS,748220.5,0.03,-0.06,30634,30770,0.7,49.79,0.79,10,883541
TLAX,148814.3,0.01,1.48,5490,6251,0.63,69.87,0.77,10,34474
VER,1067881.1,0.02,2.49,63464,59610,1.01,90.65,0.77,12,221904
YUC,389194.0,0.02,5.44,38828,31020,1.7,85.33,0.81,10,99627
ZAC,228807.1,0.01,1.69,20607,11044,1.53,76.91,0.78,10,524962
